id	type	name	version	description
b0061	CDS	araD	5.1.3.4	L-ribulose-5-phosphate 4-epimerase AraD
b0062	CDS	araA	5.3.1.4	L-arabinose isomerase
b0063	CDS	araB	2.7.1.16	ribulokinase
b0064	CDS	araC		DNA-binding transcriptional dual regulator AraC
b0065	CDS	yabI		DedA family protein YabI
b0066	CDS	thiQ	7.6.2.15	thiamine ABC transporter ATP binding subunit
b0067	CDS	thiP	7.6.2.15	thiamine ABC transporter membrane subunit
b0068	CDS	thiB	7.6.2.15	thiamine ABC transporter periplasmic binding protein
b0069	CDS	sgrR		DNA-binding transcriptional dual regulator SgrR
b4662	CDS	sgrT		PtsG glucose transporter inhibitor
b0070	CDS	setA		sugar exporter SetA
b0071	CDS	leuD	4.2.1.33	3-isopropylmalate dehydratase subunit LeuD
b0072	CDS	leuC	4.2.1.33	3-isopropylmalate dehydratase subunit LeuC
b0073	CDS	leuB	1.1.1.85	3-isopropylmalate dehydrogenase
b0074	CDS	leuA	2.3.3.13	2-isopropylmalate synthase
b0075	CDS	leuL		leu operon leader peptide
b0076	CDS	leuO		DNA-binding transcriptional dual regulator LeuO
b4726	CDS	yabR		protein YabR
b0077	CDS	ilvI	2.2.1.6	acetolactate synthase/acetohydroxybutanoate synthase, catalytic subunit
b0078	CDS	ilvH	2.2.1.6	acetolactate synthase/acetohydroxybutanoate synthase, regulatory subunit
b0080	CDS	cra		DNA-binding transcriptional dual regulator Cra
b0081	CDS	mraZ		DNA-binding transcriptional repressor MraZ
b0082	CDS	rsmH	2.1.1.199	16S rRNA m(4)C1402 methyltransferase
b0083	CDS	ftsL		cell division protein FtsL
b0084	CDS	ftsI		peptidoglycan DD-transpeptidase FtsI
b0085	CDS	murE	6.3.2.13	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2, 6-diaminopimelate ligase
b0086	CDS	murF	6.3.2.10	D-alanyl-D-alanine-adding enzyme
b0087	CDS	mraY	2.7.8.13	phospho-N-acetylmuramoyl-pentapeptide- transferase
b0088	CDS	murD	6.3.2.9	UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase
b0089	CDS	ftsW		essential cell division protein FtsW
b0090	CDS	murG	2.4.1.227	N-acetylglucosaminyl transferase
b0091	CDS	murC	6.3.2.8	UDP-N-acetylmuramate--L-alanine ligase
b0092	CDS	ddlB	6.3.2.4	D-alanine--D-alanine ligase B
b0093	CDS	ftsQ		cell division protein FtsQ
b0094	CDS	ftsA		cell division protein FtsA
b0095	CDS	ftsZ		cell division protein FtsZ
b0096	CDS	lpxC	3.5.1.108	UDP-3-O-acyl-N-acetylglucosamine deacetylase
b0097	CDS	secM		SecA translation regulator
b0098	CDS	secA		protein translocation ATPase
b0099	CDS	mutT	3.6.1.55	8-oxo-dGTP diphosphatase
b0101	CDS	yacG		DNA gyrase inhibitor YacG
b0102	CDS	zapD		cell division factor ZapD
b0103	CDS	coaE	2.7.1.24	dephospho-CoA kinase
b4727	CDS	yacM		protein YacM
b0104	CDS	guaC	1.7.1.7	GMP reductase
b0106	CDS	hofC		inner membrane protein HofC
b0107	CDS	hofB		T2SSE family protein
b0108	CDS	ppdD		prepilin-type N-terminal cleavage/methylation domain-containing protein PpdD
b0109	CDS	nadC	2.4.2.19	quinolinate phosphoribosyltransferase (decarboxylating)
b0110	CDS	ampD	3.5.1.28	1,6-anhydro-N-acetylmuramoyl-L-alanine amidase
b0111	CDS	ampE		protein AmpE
b0112	CDS	aroP		aromatic amino acid:H(+) symporter AroP
b0113	CDS	pdhR		DNA-binding transcriptional dual regulator PdhR
b0114	CDS	aceE	1.2.4.1	pyruvate dehydrogenase E1 component
b0115	CDS	aceF	2.3.1.12	pyruvate dehydrogenase, E2 subunit
b0116	CDS	lpd	1.8.1.4	lipoamide dehydrogenase
b0117	CDS	yacH		DUF3300 domain-containing protein YacH
b0118	CDS	acnB	4.2.1.99	hypothetical protein
b0119	CDS	yacL		UPF0231 family protein YacL
b0120	CDS	speD	4.1.1.50	S-adenosylmethionine decarboxylase proenzyme
b0121	CDS	speE	2.5.1.16	spermidine synthase
b0122	CDS	yacC		putative lipoprotein YacC
b0123	CDS	cueO	1.10.3.2	multicopper oxidase CueO
b0124	CDS	gcd	1.1.5.2	quinoprotein glucose dehydrogenase
b0125	CDS	hpt	2.4.2.8	hypoxanthine phosphoribosyltransferase
b0126	CDS	can	4.2.1.1	carbonic anhydrase 2
b0127	CDS	yadG		putative ABC transporter ATP-binding protein YadG
b0128	CDS	yadH		putative ABC transporter membrane subunit YadH
b0129	CDS	yadI		putative PTS enzyme IIA component YadI
b0130	CDS	yadE		putative polysaccharide deacetylase lipoprotein YadE
b0131	CDS	panD	4.1.1.11	aspartate 1-decarboxylase proenzyme
b0132	CDS	rpnC		recombination-promoting nuclease RpnC
b0133	CDS	panC	6.3.2.1	pantothenate synthetase
b0134	CDS	panB	2.1.2.11	3-methyl-2-oxobutanoate hydroxymethyltransferase
b0135	CDS	yadC		fimbrial tip-adhesin YadC
b0136	CDS	yadK		putative fimbrial protein YadK
b0137	CDS	yadL		putative fimbrial protein YadL
b0138	CDS	yadM		putative fimbrial protein YadM
b0139	CDS	htrE		putative fimbrial usher protein HtrE
b0140	CDS	yadV		putative fimbrial chaperone YadV
b0141	CDS	yadN		putative fimbrial protein YadN
b0142	CDS	folK	2.7.6.3	2-amino-4-hydroxy-6- hydroxymethyldihydropteridine diphosphokinase
b0143	CDS	pcnB	2.7.7.19	poly(A) polymerase I
b0144	CDS	gluQ		glutamyl-Q tRNA(Asp) synthetase
b0145	CDS	dksA		RNA polymerase-binding transcription factor DksA
b0146	CDS	sfsA		putative DNA-binding transcriptional regulator of maltose metabolism
b0147	CDS	thpR	3.1.4.58	RNA 2',3'-cyclic phosphodiesterase
b0148	CDS	hrpB		RNA-dependent NTPase HrpB
b0149	CDS	mrcB	2.4.1.129	peptidoglycan glycosyltransferase/peptidoglycan DD-transpeptidase MrcB
b0149	CDS	mrcB		PBP1Bgamma
b0150	CDS	fhuA		ferrichrome outer membrane transporter/phage receptor
b0151	CDS	fhuC	7.2.2.16	iron(III) hydroxamate ABC transporter ATP binding subunit
b0152	CDS	fhuD	7.2.2.16	iron(III) hydroxamate ABC transporter periplasmic binding protein
b0153	CDS	fhuB	7.2.2.16	iron(III) hydroxamate ABC transporter membrane subunit
b0154	CDS	hemL	5.4.3.8	glutamate-1-semialdehyde 2,1-aminomutase
b4765	CDS	yadX		protein YadX
b0155	CDS	clcA		chloride:H(+) antiporter ClcA
b4728	CDS	yadW		protein YadW
b0156	CDS	erpA		iron-sulfur cluster insertion protein ErpA
b0157	CDS	yadS		PF03458 family protein YadS
b0158	CDS	btuF	7.6.2.8	vitamin B12 ABC transporter periplasmic binding protein
b0159	CDS	mtn	3.2.2.9	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
b0160	CDS	dgt	3.1.5.1	dGTP triphosphohydrolase
b0161	CDS	degP	3.4.21.107	periplasmic serine endoprotease DegP
b0162	CDS	cdaR		DNA-binding transcriptional activator CdaR
b0163	CDS	yaeH		DUF3461 domain-containing protein YaeH
b0164	CDS	yaeI		phosphodiesterase YaeI
b0166	CDS	dapD	2.3.1.117	tetrahydrodipicolinate succinylase
b0167	CDS	glnD	2.7.7.59	PII uridylyltransferase/uridylyl removing enzyme
b0168	CDS	map	3.4.11.18	methionine aminopeptidase
b0169	CDS	rpsB		30S ribosomal subunit protein S2
b0170	CDS	tsf		protein chain elongation factor EF-Ts
b0171	CDS	pyrH	2.7.4.22	UMP kinase
b0172	CDS	frr		ribosome-recycling factor
b0173	CDS	dxr	1.1.1.267	1-deoxy-D-xylulose 5-phosphate reductoisomerase
b0174	CDS	uppS	2.5.1.31	ditrans,polycis-undecaprenyl-diphosphate synthase [(2E,6E)-farnesyl-diphosphate specific]
b0175	CDS	cdsA	2.7.7.41	CDP-diglyceride synthetase
b0176	CDS	rseP		intramembrane zinc metalloprotease RseP
b0177	CDS	bamA		outer membrane protein assembly factor BamA
b0178	CDS	skp		periplasmic chaperone Skp
b0179	CDS	lpxD	2.3.1.191	UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase
b0180	CDS	fabZ	4.2.1.59	3-hydroxy-acyl-[acyl-carrier-protein] dehydratase
b0181	CDS	lpxA	2.3.1.129	acyl-[acyl-carrier-protein]--UDP-N- acetylglucosamine O-acyltransferase
b0182	CDS	lpxB	2.4.1.182	lipid A disaccharide synthase
b0183	CDS	rnhB	3.1.26.4	RNase HII
b0184	CDS	dnaE	2.7.7.7	DNA polymerase III subunit alpha
b0185	CDS	accA	2.1.3.15	acetyl-CoA carboxyltransferase subunit alpha
b0186	CDS	ldcC	4.1.1.18	lysine decarboxylase 2
b0187	CDS	yaeR		VOC domain-containing protein YaeR
b0188	CDS	tilS	6.3.4.19	tRNA(Ile)-lysidine synthetase
b0189	CDS	rof		modulator of Rho-dependent transcription termination
b4406	CDS	yaeP		UPF0253 family protein YaeP
b0190	CDS	yaeQ		uncharacterized protein YaeQ
b0191	CDS	arfB	3.1.1.29	peptidyl-tRNA hydrolase, ribosome rescue factor
b0192	CDS	nlpE		sensor lipoprotein NlpE
b0193	CDS	yaeF		peptidase C92 family protein YaeF
b0194	CDS	proS	6.1.1.15	proline--tRNA ligase
b0195	CDS	trmO		tRNA m(6)t(6)A37 methyltransferase
b0196	CDS	rcsF		sensor lipoprotein RcsF
b0197	CDS	metQ	7.4.2.11	L-methionine/D-methionine ABC transporter membrane anchored binding protein
b0198	CDS	metI	7.4.2.11	L-methionine/D-methionine ABC transporter membrane subunit
b0199	CDS	metN	7.4.2.11	L-methionine/D-methionine ABC transporter ATP binding subunit
b0200	CDS	gmhB	3.1.3.82	D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase
b0201	rRNA	rrsH		16S ribosomal RNA
b0202	tRNA	ileV		tRNA-Ile
b0203	tRNA	alaV		tRNA-Ala
b0204	rRNA	rrlH		23S ribosomal RNA
b0205	rRNA	rrfH		5S ribosomal RNA
b0206	tRNA	aspU		tRNA-Asp
b0207	CDS	dkgB	1.1.1.346	methylglyoxal reductase DkgB
b0208	CDS	yafC		LysR family transcriptional regulator YafC
b0209	CDS	yafD		endonuclease/exonuclease/phosphatase domain-containing protein YafD
b0210	CDS	yafE		putative S-adenosylmethionine-dependent methyltransferase
b0211	CDS	mltD		membrane-bound lytic murein transglycosylase D
b0212	CDS	gloB	3.1.2.6	hydroxyacylglutathione hydrolase GloB
b0213	CDS	yafS		putative S-adenosyl-L-methionine-dependent methyltransferase
b0214	CDS	rnhA	3.1.26.4	ribonuclease HI
b0215	CDS	dnaQ		DNA polymerase III subunit epsilon
b0216	tRNA	aspV		tRNA-Asp
b0217	CDS	yafT		lipoprotein YafT
b4586	CDS	ykfM		uncharacterized protein YkfM
b0219	CDS	yafV	3.5.1.111	2-oxoglutaramate amidase
b0220	CDS	ivy		periplasmic chaperone, inhibitor of vertebrate C-type lysozyme
b0221	CDS	fadE	1.3.8.8	acyl-CoA dehydrogenase
b0222	CDS	gmhA	5.3.1.28	D-sedoheptulose 7-phosphate isomerase
b0223	CDS	yafJ		putative glutamine amidotransferase YafJ
b0224	CDS	ldtF		L,D-transpeptidase domain-containing protein LdtF
b0225	CDS	yafQ		ribosome-dependent mRNA interferase toxin YafQ
b0226	CDS	dinJ		antitoxin/DNA-binding transcriptional repressor DinJ
b0227	CDS	yafL		NlpC/P60 family protein YafL
b0228	CDS	rayT		REP-associated tyrosine transposase
b0231	CDS	dinB	2.7.7.7	DNA polymerase IV
b0232	CDS	yafN		antitoxin YafN
b0233	CDS	yafO		ribosome-dependent mRNA interferase toxin YafO
b0234	CDS	yafP		putative acyltransferase with acyl-CoA N-acyltransferase domain
b0237	CDS	pepD	3.4.13.18	peptidase D
b0238	CDS	gpt	2.4.2.22	xanthine-guanine phsophoribosyltransferase
b0239	CDS	frsA		fermentation-respiration switch protein
b0240	CDS	crl		RNA polymerase holoenzyme assembly factor Crl
b4710	CDS	insB9		IS1 transposase B
b4709	CDS	insA9		IS1 repressor TnpA
b0241	CDS	phoE		outer membrane porin PhoE
b0242	CDS	proB	2.7.2.11	glutamate 5-kinase
b0243	CDS	proA	1.2.1.41	glutamate-5-semialdehyde dehydrogenase
b0244	tRNA	thrW		tRNA-Thr
b0245	CDS	ykfI		CP4-6 prophage; toxin of the YkfI-YafW toxin-antitoxin system
b0246	CDS	yafW		antitoxin of the YkfI-YafW toxin-antitoxin pair
b4504	CDS	ykfH		DUF987 domain-containing protein YkfH
b0247	CDS	ykfG		CP4-6 prophage; RadC-like JAB domain-containing protein YkfG
b0248	CDS	yafX		CP4-6 prophage; protein YafX
b0249	CDS	ykfF		CP4-6 prophage; protein YkfF
b0250	CDS	ykfB		CP4-6 prophage; protein YkfB
b0251	CDS	yafY		CP4-6 prophage; inner membrane lipoprotein YafY
b0252	CDS	yafZ		CP4-6 prophage; DUF932 domain-containing protein YafZ
b0253	CDS	ykfA		CP4-6 prophage; putative GTP-binding protein YkfA
b0254	CDS	perR		CP4-6 prophage; putative transcriptional regulator PerR
b4587	CDS	insN		CP4-6 prophage; IS911A regulator fragment
b0256	CDS	insI1		IS30 transposase
b0258	CDS	ykfC		CP4-6 prophage; PF00078 domain-containing protein YkfC
b0259	CDS	insH1		CP4-6 prophage; IS5 transposase and trans-activator
b0260	CDS	mmuP		CP4-6 prophage; S-methyl-L-methionine transporter
b0261	CDS	mmuM	2.1.1.10	CP4-6 prophage; homocysteine S-methyltransferase
b0262	CDS	afuC		CP4-6 prophage; ABC transporter ATP-binding protein AfuC
b0264	CDS	insB2		IS1 protein InsB
b0265	CDS	insA2		IS1 protein InsA
b0266	CDS	yagB		CP4-6 prophage; orphan antitoxin YagB
b0267	CDS	yagA		CP4-6 prophage; integrase core domain-containing protein YagA
b0268	CDS	yagE	4.1.2.28	CP4-6 prophage; putative 2-dehydro-3-deoxygluconate aldolase
b0269	CDS	yagF	4.2.1.82	CP4-6 prophage; D-xylonate dehydratase
b0270	CDS	yagG		CP4-6 prophage; putative D-xylonate transporter YagG
b0271	CDS	yagH		CP4-6 prophage; putative xylosidase/arabinosidase
b0272	CDS	xynR		CP4-6 prophage; DNA-binding transcriptional repressor XynR
b0273	CDS	argF	2.1.3.3	CP4-6 prophage; ornithine carbamoyltransferase ArgF
b4766	CDS	argL		putative translational regulatory protein ArgL
b4688	CDS	ykgS		CP4-6 prophage; protein YkgS
b0274	CDS	insB3		IS1 protein InsB
b0275	CDS	insA3		IS1 protein InsA
b0276	CDS	yagJ		CP4-6 prophage; protein YagJ
b0277	CDS	yagK		CP4-6 prophage; uncharacterized protein YagK
b0278	CDS	yagL		CP4-6 prophage; resolvase-like catalytic domain-containing protein YagL
b0279	CDS	yagM		CP4-6 prophage; protein YagM
b4729	CDS	ykgV		CP4-6 prophage; protein YkgV
b0280	CDS	yagN		CP4-6 prophage; protein YagN
b0281	CDS	intF		CP4-6 prophage; putative phage integrase
b0282	CDS	yagP		putative LysR family substrate binding domain-containing protein YagP
b0283	CDS	paoD		molybdenum cofactor insertion chaperone PaoD
b0284	CDS	paoC	1.2.99.6	aldehyde dehydrogenase: molybdenum cofactor-binding subunit
b0285	CDS	paoB	1.2.99.6	aldehyde dehydrogenase, FAD-binding subunit
b0286	CDS	paoA	1.2.99.6	aldehyde dehydrogenase, Fe-S subunit
b0287	CDS	yagU		inner membrane protein that contributes to acid resistance
b0288	CDS	ykgJ		putative zinc- or iron-chelating domain-containing protein YkgJ
b0289	CDS	ecpE		putative fimbrial chaperone EcpE
b0290	CDS	ecpD		fimbrial adhesin EcpD
b0291	CDS	ecpC		putative fimbrial usher protein EcpC
b0292	CDS	ecpB		putative fimbrial chaperone EcpB
b0293	CDS	ecpA		common pilus major subunit
b0294	CDS	ecpR		DNA-binding transcriptional dual regulator MatA
b0295	CDS	ykgL		uncharacterized protein YkgL
b4506	CDS	ykgO		50S ribosomal subunit protein L36B
b0296	CDS	ykgM		50S ribosomal subunit protein L31B
b4671	CDS	ykgR		putative membrane protein YkgR
b0298	CDS	insE1		IS3 element protein InsE
b0299	CDS	insF1		IS3 element protein InsF
b0301	CDS	rclC		reactive chlorine species resistance protein C
b0303	CDS	rclB		DUF1471 domain-containing protein RclB
b0304	CDS	rclA		cupric reductase RclA
b0305	CDS	rclR		DNA-binding transcriptional activator RclR
b0306	CDS	ykgE		putative lactate utilization oxidoreductase YkgE
b0307	CDS	ykgF		putative amino acid dehydrogenase with NAD(P)-binding domain and ferridoxin-like domain
b0308	CDS	ykgG		DUF162 domain-containing lactate utilization protein YkgG
b0310	CDS	ykgH		uncharacterized protein YkgH
b0311	CDS	betA	1.1.99.1	choline dehydrogenase
b0312	CDS	betB	1.2.1.8	betaine aldehyde dehydrogenase
b0313	CDS	betI		DNA-binding transcriptional repressor BetI
b0314	CDS	betT		choline:H(+) symporter
b4730	CDS	yahV		protein YahV
b0315	CDS	pdeL	3.1.4.52	DNA-binding transcriptional activator/c-di-GMP phosphodiesterase PdeL
b0316	CDS	yahB		putative LysR-type DNA-binding transcriptional regulator YahB
b0317	CDS	yahC		uncharacterized protein YahC
b0318	CDS	yahD		ankyrin repeat-containing protein YahD
b0319	CDS	yahE		DUF2877 domain-containing protein YahE
b0320	CDS	yahF		putative acyl-CoA synthetase YahF
b0321	CDS	yahG		DUF1116 domain-containing protein YahG
b0322	CDS	yahH		putative uncharacterized protein YahH
b0323	CDS	yahI		carbamate kinase-like protein YahI
b0324	CDS	yahJ		putative deaminase with metallo-dependent hydrolase domain
b0325	CDS	yahK	1.1.1.2	aldehyde reductase, NADPH-dependent
b0326	CDS	yahL		uncharacterized protein YahL
b0327	CDS	yahM		uncharacterized protein YahM
b0328	CDS	yahN		putative amino acid exporter YahN
b0329	CDS	yahO		DUF1471 domain-containing protein YahO
b0330	CDS	prpR		DNA-binding transcriptional dual regulator PrpR
b0331	CDS	prpB	4.1.3.30	2-methylisocitrate lyase
b0333	CDS	prpC	2.3.3.5	2-methylcitrate synthase
b0334	CDS	prpD	4.2.1.79	2-methylcitrate dehydratase
b0335	CDS	prpE	6.2.1.17	propionyl-CoA synthetase
b0336	CDS	codB		cytosine transporter
b0337	CDS	codA	3.5.4.1	cytosine/isoguanine deaminase
b0338	CDS	cynR		DNA-binding transcriptional dual regulator CynR
b0339	CDS	cynT	4.2.1.1	carbonic anhydrase 1
b0340	CDS	cynS		cyanase
b0341	CDS	cynX		cyanate transporter
b0342	CDS	lacA	2.3.1.18	galactoside O-acetyltransferase
b0343	CDS	lacY		lactose permease
b0344	CDS	lacZ	3.2.1.108	beta-galactosidase
b0345	CDS	lacI		DNA-binding transcriptional repressor LacI
b0346	CDS	mhpR		DNA-binding transcriptional activator MhpR
b0347	CDS	mhpA	1.14.13.127	3-(3-hydroxyphenyl)propanoate hydroxylase
b0348	CDS	mhpB	1.13.11.16	3-carboxyethylcatechol 2,3-dioxygenase
b0349	CDS	mhpC	3.7.1.14	2-hydroxy-6-ketonona-2,4-dienedioate hydrolase
b0350	CDS	mhpD	4.2.1.80	2-hydroxypentadienoate hydratase
b0351	CDS	mhpF	1.2.1.10	acetaldehyde dehydrogenase (acetylating) MhpF
b0352	CDS	mhpE	4.1.3.39	4-hydroxy-2-oxovalerate aldolase
b0353	CDS	mhpT		3-hydroxyphenylpropionate/3- hydroxycinnamate:H(+) symporter
b0354	CDS	yaiL		DUF2058 domain-containing protein YaiL
b0355	CDS	frmB	3.1.2.12	S-formylglutathione hydrolase FrmB
b0356	CDS	frmA	1.1.1.284	S-(hydroxymethyl)glutathione dehydrogenase
b0357	CDS	frmR		DNA-binding transcriptional repressor FrmR
b0358	CDS	yaiO		outer membrane protein YaiO
b4579	CDS	yaiX		putative acyltransferase, N-terminal fragment
b0360	CDS	insC1		IS2 element protein InsA
b0361	CDS	insD1		IS2 element protein
b0363	CDS	yaiP		putative glucosyltransferase
b4731	CDS	ykiC		protein YkiC
b0364	CDS	yaiS		putative deacetylase YaiS
b0365	CDS	tauA	7.6.2.7	taurine ABC transporter periplasmic binding protein
b0366	CDS	tauB	7.6.2.7	taurine ABC transporter ATP binding subunit
b0367	CDS	tauC	7.6.2.7	taurine ABC transporter membrane subunit
b0368	CDS	tauD	1.14.11.17	taurine dioxygenase
b0369	CDS	hemB	4.2.1.24	porphobilinogen synthase
b4580	CDS	yaiT		putative autotransporter YaiT
b4767	CDS	ytiB		protein YtiB
b0372	CDS	insF2		IS3 element protein InsF
b0373	CDS	insE2		IS3 element protein InsE
b0375	CDS	iprA		putative DNA-binding transcriptional regulator IprA
b0376	CDS	ampH		peptidoglycan DD-carboxypeptidase/peptidoglycan DD-endopeptidase
b0377	CDS	sbmA		peptide antibiotic/peptide nucleic acid transporter
b0378	CDS	yaiW		surface-exposed outer membrane lipoprotein
b0379	CDS	yaiY		DUF2755 domain-containing inner membrane protein YaiY
b0380	CDS	yaiZ		DUF2754 domain-containing protein YaiZ
b0381	CDS	ddlA	6.3.2.4	D-alanine--D-alanine ligase A
b0382	CDS	iraP		anti-adaptor protein for sigma(S) stabilization
b0383	CDS	phoA	3.1.3.1	alkaline phosphatase
b0384	CDS	psiF		PsiF family protein
b0385	CDS	dgcC	2.7.7.65	diguanylate cyclase DgcC
b0386	CDS	proC	1.5.1.2	pyrroline-5-carboxylate reductase
b0387	CDS	yaiI		DUF188 domain-containing protein YaiI
b0388	CDS	aroL	2.7.1.71	shikimate kinase 2
b0389	CDS	yaiA		protein YaiA
b0390	CDS	aroM		protein AroM
b0391	CDS	ppnP	2.4.2.15	nucleoside phosphorylase PpnP
b4732	CDS	ykiD		protein YkiD
b0393	CDS	rdgC		nucleoid-associated protein RdgC
b0394	CDS	mak	2.7.1.4	fructokinase
b0396	CDS	araJ		putative transport protein AraJ
b0397	CDS	sbcC		ATP dependent, structure specific DNA nuclease - SbcC subunit
b0398	CDS	sbcD		ATP dependent, structure specific DNA nuclease - SbcD subunit
b0399	CDS	phoB		DNA-binding transcriptional dual regulator PhoB
b0400	CDS	phoR	2.7.13.3	sensor histidine kinase PhoR
b0401	CDS	brnQ		branched chain amino acid transporter BrnQ
b0402	CDS	proY		putative transporter ProY
b0403	CDS	malZ	3.2.1.20	maltodextrin glucosidase
b0404	CDS	acpH	3.1.4.14	acyl carrier protein phosphodiesterase
b0405	CDS	queA	2.4.99.17	tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase
b0406	CDS	tgt	2.4.2.29	tRNA-guanine transglycosylase
b0407	CDS	yajC		Sec translocon accessory complex subunit YajC
b0408	CDS	secD		Sec translocon accessory complex subunit SecD
b0409	CDS	secF		Sec translocon accessory complex subunit SecF
b0410	CDS	yajD		HNH nuclease family protein YajD
b0411	CDS	tsx		nucleoside-specific channel-forming protein Tsx
b0412	CDS	yajI		putative lipoprotein YajI
b0413	CDS	nrdR		NrdR transcriptional repressor
b0414	CDS	ribD	1.1.1.193	fused diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase
b0415	CDS	ribE	2.5.1.78	6,7-dimethyl-8-ribityllumazine synthase
b0416	CDS	nusB		transcription antitermination protein NusB
b0417	CDS	thiL	2.7.4.16	thiamine monophosphate kinase
b0418	CDS	pgpA	3.1.3.27	phosphatidylglycerophosphatase A
b0419	CDS	yajO		1-deoxyxylulose-5-phosphate synthase YajO
b0420	CDS	dxs	2.2.1.7	1-deoxy-D-xylulose-5-phosphate synthase
b0421	CDS	ispA	2.5.1.1	geranyl diphosphate/farnesyl diphosphate synthase
b0422	CDS	xseB	3.1.11.6	exodeoxyribonuclease VII subunit XseB
b0423	CDS	thiI	2.8.1.4	tRNA uridine 4-sulfurtransferase
b0424	CDS	yajL		protein/nucleic acid deglycase 3
b0425	CDS	panE	1.1.1.169	2-dehydropantoate 2-reductase
b0426	CDS	yajQ		nucleotide binding protein YajQ
b0427	CDS	yajR		putative transport protein YajR
