CRTL1	CTRL2	CTRL3	T1	T2	T3	COUNT	TYPE	GENE	VERSION	DESCRIPTION
993	492	404	379	375	473	PaeAG1_00155	CDS	nuh		nonspecific ribonucleoside hydrolase
354	218	104	263	187	212	PaeAG1_00156	CDS			hypothetical protein
739	433	204	339	302	336	PaeAG1_00157	CDS			hypothetical protein
349	165	117	144	139	167	PaeAG1_00158	CDS			Purine-binding protein
468	277	166	332	324	370	PaeAG1_00159	CDS			oxidoreductase
2169	1166	923	861	817	925	PaeAG1_00160	CDS		3.5.4.4	adenosine deaminase
309	165	85	139	120	248	PaeAG1_00161	CDS			ECF subfamily sigma-70 factor
320	178	94	88	93	152	PaeAG1_00162	CDS			transmembrane sensor
445	219	108	226	220	350	PaeAG1_00163	CDS			TonB-dependent receptor
975	584	337	478	467	493	PaeAG1_00164	CDS	pcaQ		transcriptional regulator PcaQ
549	318	128	238	223	281	PaeAG1_00165	CDS	pcaH		protocatechuate 3,4-dioxygenase subunit beta
768	448	312	277	295	303	PaeAG1_00166	CDS	pcaG		protocatechuate 3,4-dioxygenase subunit alpha
395	208	103	129	117	164	PaeAG1_00167	CDS	pcaR		transcriptional regulator PcaR
1085	692	303	1026	876	1263	PaeAG1_00168	CDS			resistance-nodulation-cell division (RND) efflux membrane fusion protein
1140	682	278	793	619	838	PaeAG1_00169	CDS			resistance-nodulation-cell division (RND) efflux membrane fusion protein
4407	2513	1502	4503	3408	4242	PaeAG1_00170	CDS			resistance-nodulation-cell division (RND) efflux transporter
935	605	407	838	760	925	PaeAG1_00171	CDS			transcriptional regulator
320	189	185	294	187	303	PaeAG1_00172	CDS			hypothetical protein
720	376	260	334	284	416	PaeAG1_00173	CDS	opdC		histidine porin OpdC
811	449	264	233	299	357	PaeAG1_00174	CDS			transcriptional regulator
903	557	399	318	325	414	PaeAG1_00175	CDS			gamma-glutamyltranspeptidase
1029	596	381	280	236	479	PaeAG1_00176	CDS			hypothetical protein
226	157	68	216	169	187	PaeAG1_00177	CDS			transporter
1227	809	583	493	562	1036	PaeAG1_00178	CDS			transcriptional regulator
471	251	168	248	187	366	PaeAG1_00179	CDS	yigZ		IMPACT family member YigZ
1112	741	337	675	485	949	PaeAG1_00180	CDS	wspR_1		two-component response regulator
611	393	145	295	221	424	PaeAG1_00181	CDS			hypothetical protein
956	470	256	408	272	642	PaeAG1_00182	CDS			hypothetical protein
2128	1411	787	764	736	1289	PaeAG1_00183	CDS			hypothetical protein
654	427	358	143	129	164	PaeAG1_00184	CDS		3.1.1.61	chemotaxis response regulator protein-glutamate methylesterase
824	383	347	107	107	114	PaeAG1_00185	CDS	cheD	3.5.1.44	Chemoreceptor glutamine deamidase CheD
3646	1853	1158	517	515	530	PaeAG1_00186	CDS			chemotaxis protein methyltransferase
27768	13824	6821	3039	3184	3234	PaeAG1_00187	CDS	aer2		aerotaxis transducer Aer2
4284	2060	1612	943	1040	1024	PaeAG1_00188	CDS			purine-binding chemotaxis protein
14088	6521	3334	2475	3006	3158	PaeAG1_00189	CDS			two-component sensor
16375	6908	4799	4642	4214	5926	PaeAG1_00190	CDS			two-component response regulator
7586	3711	2526	1669	2158	2445	PaeAG1_00191	CDS	cttP		trichloroethylene chemotactic transducer CttP
1470	852	534	887	819	857	PaeAG1_00192	CDS			transcriptional regulator
290	153	61	146	138	170	PaeAG1_00193	CDS		1.1.1.100	3-ketoacyl-ACP reductase
587	328	190	376	343	358	PaeAG1_00194	CDS	atsA		arylsulfatase
165	95	48	89	74	96	PaeAG1_00195	CDS			ABC transporter ATP-binding protein
210	123	64	153	149	186	PaeAG1_00196	CDS			ABC transporter permease
360	177	148	233	186	222	PaeAG1_00197	CDS			ABC transporter
204	87	85	129	100	146	PaeAG1_00198	CDS			hypothetical protein
75	32	31	79	61	83	PaeAG1_00199	CDS			hypothetical protein
189	135	66	185	161	144	PaeAG1_00200	CDS			porin
173	98	68	72	64	83	PaeAG1_00201	CDS			acid phosphatase
324	194	129	296	212	350	PaeAG1_00202	CDS			transcriptional regulator
270	179	82	229	169	215	PaeAG1_00203	CDS			TonB-dependent receptor
135	75	33	81	80	72	PaeAG1_00204	CDS	tauD_1	1.14.11.17	taurine dioxygenase
402	261	115	221	191	179	PaeAG1_00205	CDS	tauD_2	1.14.11.17	taurine dioxygenase
2039	1020	518	1856	1439	1675	PaeAG1_00206	CDS	pntAA		NAD(P) transhydrogenase subunit alpha
274	132	99	212	194	213	PaeAG1_00207	CDS	pntAB		NAD(P) transhydrogenase subunit alpha
1420	745	539	1280	1027	1158	PaeAG1_00208	CDS	pntB		pyridine nucleotide transhydrogenase subunit beta
165	96	35	61	60	66	PaeAG1_00209	CDS	tonB2		transporter TonB
422	234	150	226	238	244	PaeAG1_00210	CDS	exbB1		transporter ExbB
830	342	238	602	514	479	PaeAG1_00211	CDS	exbD1		biopolymer transport protein ExbD
2494	1125	810	2439	1794	1959	PaeAG1_00212	CDS			hypothetical protein
867	514	420	486	527	539	PaeAG1_00213	CDS			hypothetical protein
7322	4521	2118	4569	6121	4268	PaeAG1_00214	CDS	mdcA		malonate decarboxylase subunit alpha
1422	891	333	626	921	736	PaeAG1_00215	CDS		2.4.2.52	2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase
478	286	82	208	262	200	PaeAG1_00216	CDS	mdcC		malonate decarboxylase acyl carrier protein
2476	1429	357	849	988	736	PaeAG1_00217	CDS	mdcD		malonate decarboxylase subunit beta
1480	941	296	525	614	516	PaeAG1_00218	CDS	mdcE		malonate decarboxylase subunit gamma
678	500	143	315	344	207	PaeAG1_00219	CDS			phosphoribosyl-dephospho-CoA transferase
1445	861	410	768	740	808	PaeAG1_00220	CDS			acyl transferase
808	419	261	377	305	419	PaeAG1_00221	CDS			malonate transporter MadL
493	251	155	272	236	319	PaeAG1_00222	CDS			malonate transporter MadM
588	377	214	254	240	331	PaeAG1_00223	CDS			transcriptional regulator
431	226	162	279	279	305	PaeAG1_00224	CDS			transcriptional regulator
189	88	49	116	80	133	PaeAG1_00225	CDS			aldehyde dehydrogenase
304	191	114	301	287	303	PaeAG1_00226	CDS			amino acid APC family transporter
200	127	61	109	101	115	PaeAG1_00227	CDS			aminotransferase
154	66	85	88	72	132	PaeAG1_00228	CDS			ABC transporter
265	152	127	282	245	265	PaeAG1_00229	CDS			dihydrodipicolinate synthetase
341	224	139	217	189	275	PaeAG1_00230	CDS			class II aldolase/adducin domain-containing protein
728	448	393	267	249	430	PaeAG1_00231	CDS			transcriptional regulator
425	243	124	83	88	128	PaeAG1_00232	CDS			CoA transferase subunit A
317	193	47	127	113	157	PaeAG1_00233	CDS			CoA transferase subunit B
578	393	165	316	283	366	PaeAG1_00234	CDS	pcaF		beta-ketoadipyl CoA thiolase
423	188	196	315	305	442	PaeAG1_00235	CDS	pcaT		dicarboxylic acid transporter PcaT
963	647	268	772	667	812	PaeAG1_00236	CDS	pcaB	5.5.1.2	3-carboxy-cis,cis-muconate cycloisomerase
395	222	113	242	217	279	PaeAG1_00237	CDS	pcaD		3-oxoadipate enol-lactonase
293	162	84	351	281	267	PaeAG1_00238	CDS	pcaC_1		4-carboxymuconolactone decarboxylase
852	520	347	445	387	472	PaeAG1_00239	CDS			transcriptional regulator
359	167	171	160	154	186	PaeAG1_00240	CDS			hypothetical protein
135	58	30	92	74	128	PaeAG1_00241	CDS	pcaK		4-hydroxybenzoate transporter PcaK
285	192	107	205	165	312	PaeAG1_00242	CDS			transcriptional regulator
71	54	31	62	37	46	PaeAG1_00243	CDS			oxidoreductase
315	197	104	378	325	430	PaeAG1_00244	CDS			hypothetical protein
381	190	168	193	149	202	PaeAG1_00245	CDS			hypothetical protein
346	224	153	347	308	274	PaeAG1_00246	CDS			porin
154	72	41	115	103	124	PaeAG1_00247	CDS			major facilitator superfamily transporter
267	190	74	181	177	211	PaeAG1_00248	CDS			hypothetical protein
576	396	300	306	321	401	PaeAG1_00249	CDS			transcriptional regulator
125	90	56	82	91	77	PaeAG1_00250	CDS		1.1.1.25	shikimate 5-dehydrogenase
146	69	35	79	62	101	PaeAG1_00251	CDS	aroQ2	4.2.1.10	3-dehydroquinate dehydratase
1057	554	338	401	452	520	PaeAG1_00252	CDS			major facilitator superfamily transporter
232	123	74	141	132	187	PaeAG1_00253	CDS	pobA	1.14.13.2	4-hydroxybenzoate 3-monooxygenase
332	203	143	236	239	274	PaeAG1_00254	CDS			transcriptional regulator
503	281	164	441	431	430	PaeAG1_00255	CDS			acetyltransferase
1958	1065	845	1487	1663	1660	PaeAG1_00256	CDS	guaB_1	1.1.1.205	Inosine-5'-monophosphate dehydrogenase
144	91	60	142	108	133	PaeAG1_00257	CDS			hypothetical protein
63	50	42	24	26	42	PaeAG1_00258	CDS			hypothetical protein
438	283	231	425	362	484	PaeAG1_00259	CDS			transcriptional regulator
793	503	260	667	523	865	PaeAG1_00260	CDS			3-octaprenyl-4-hydroxybenzoate carboxy-lyase
860	535	277	414	353	555	PaeAG1_00261	CDS			hypothetical protein
3238	1716	1934	2456	3030	2858	PaeAG1_00262	CDS			hypothetical protein
1858	900	1533	974	798	1047	PaeAG1_00263	CDS			IS3 family transposase ISPa57
1400	793	1088	474	524	665	PaeAG1_00264	CDS			hypothetical protein
10365	5714	6652	3758	3306	4687	PaeAG1_00265	CDS			hypothetical protein
4016	2318	2058	1217	1113	1623	PaeAG1_00266	CDS			hypothetical protein
430	232	193	189	193	289	PaeAG1_00267	CDS			hypothetical protein
1689.23	835.002	890.929	871.173	718.226	1156.73	PaeAG1_00268	CDS			hypothetical protein
693.095	333.442	252.391	198.262	146.967	207.638	PaeAG1_00269	CDS	hcpC_1		secreted protein Hcp
245.835	193.182	118.569	229.086	193.303	265.752	PaeAG1_00270	CDS			hypothetical protein
676.5	346.5	390	354.5	287	408	PaeAG1_00271	CDS			IS21 family transposase ISPst3
859	570	509	965	721	997	PaeAG1_00272	CDS			hypothetical protein
313	172	88	131	157	191	PaeAG1_00273	CDS			ABC transporter ATP-binding protein
234	129	60	98	84	113	PaeAG1_00274	CDS	fmdA	3.5.1.49	Formamidase
539	250	210	223	209	299	PaeAG1_00275	CDS			ABC transporter
231	136	81	219	193	286	PaeAG1_00276	CDS			ABC transporter permease
56	42	28	63	50	41	PaeAG1_00277	CDS			ABC transporter permease
19	7	7	9	10	9	PaeAG1_00278	CDS			hypothetical protein
98	54	47	105	85	99	PaeAG1_00279	CDS	amiC_1		aliphatic amidase expression-regulating protein
754	345	386	368	369	466	PaeAG1_00280	CDS			hypothetical protein
635	414	551	492	441	694	PaeAG1_00281	CDS			hypothetical protein
1638	824	1169	1022	842	1312	PaeAG1_00282	CDS			hypothetical protein
501	216	336	210	242	442	PaeAG1_00283	CDS			hypothetical protein
200	133	141	95	111	150	PaeAG1_00284	CDS			hypothetical protein
2761	1507	1790	1391	1244	1796	PaeAG1_00285	CDS			hypothetical protein
4151	1932	2318	3508	2919	3931	PaeAG1_00286	CDS			hypothetical protein
1937	1060	964	3393	2281	3571	PaeAG1_00287	CDS			hypothetical protein
102	63	76	68	59	94	PaeAG1_00288	CDS			hypothetical protein
1332	1037	880	1622	1544	1333	PaeAG1_00289	CDS	intQ_1		Putative defective protein IntQ
362	176	207	395	313	458	PaeAG1_00290	CDS			hypothetical protein
2769	1555	1328	951	807	1595	PaeAG1_00291	CDS			restriction-modification system protein
1619	825	967	761	678	1280	PaeAG1_00292	CDS			hypothetical protein
1233	719	502	927	678	821	PaeAG1_00293	CDS			hypothetical protein
6757	3393	4663	3769	3275	4254	PaeAG1_00294	CDS			hypothetical protein
637	333	298	434	407	477	PaeAG1_00295	CDS			FMN oxidoreductase
725	401	299	517	402	619	PaeAG1_00296	CDS			oxidoreductase
330	174	140	244	206	333	PaeAG1_00297	CDS			hypothetical protein
1755	803	774	1072	950	1417	PaeAG1_00298	CDS			oxidoreductase
1048	633	499	694	659	669	PaeAG1_00299	CDS	nhaA		Na(+)/H(+) antiporter NhaA
2364	1364	931	1349	1163	1513	PaeAG1_00300	CDS	uvrA_1		excinuclease ABC subunit A
2966.83	1689	2283.85	1395	1535.78	1496	PaeAG1_00301	CDS			hypothetical protein
1163	595	495	505	461	604	PaeAG1_00302	CDS			hypothetical protein
5330	2015	2703	1808	1467	2559	PaeAG1_00303	CDS			hypothetical protein
2839	1323	2319	1485	1342	1971	PaeAG1_00304	CDS	ssuD	1.14.14.5	Alkanesulfonate monooxygenase
2376	1056	1324	1481	1285	1826	PaeAG1_00305	CDS			oxidoreductase
766	396	533	596	406	788	PaeAG1_00306	CDS			hypothetical protein
2180	1239	2016	1288	1132	1720	PaeAG1_00307	CDS	gfnR_1		glutathione-dependent formaldehyde neutralization regulator GfnR
2900	1475	1685	993	962	1067	PaeAG1_00308	CDS			short-chain dehydrogenase
188	113	88	58	58	83	PaeAG1_00309	CDS			hypothetical protein
286	177	181	130	110	134	PaeAG1_00310	CDS			hypothetical protein
3980	2187	1323	1559	1404	1706	PaeAG1_00311	CDS	adhC_1		alcohol dehydrogenase
2126	1006	948	1332	1271	1580	PaeAG1_00312	CDS			hypothetical protein
1284	694	595	404	370	497	PaeAG1_00313	CDS			hypothetical protein
2454	1115	1335	3012	2663	2877	PaeAG1_00314	CDS			hypothetical protein
2186	1177	883	1595	1292	1723	PaeAG1_00315	CDS			transcriptional regulator
4411	1467	1919	2063	1830	2915	PaeAG1_00316	CDS			hypothetical protein
368	160	178	152	161	213	PaeAG1_00317	CDS			hypothetical protein
6059	2770	4324	3532	3261	4580	PaeAG1_00318	CDS			transcriptional regulator
7286	3862	4538	2819	2215	3749	PaeAG1_00319	CDS			oxidoreductase
794	578	844	322	235	453	PaeAG1_00320	tRNA			tRNA-Arg
36108	18616	6249	7552	7396	7705	PaeAG1_00321	CDS	gabD	1.2.1.16	glutarate-semialdehyde dehydrogenase DavD
39962	20777	6995	8104	7345	7131	PaeAG1_00322	CDS			5-aminovalerate aminotransferase DavT
718	563	196	238	251	292	PaeAG1_00323	CDS			hypothetical protein
701	361	185	335	306	431	PaeAG1_00324	CDS			transcriptional regulator
724	392	198	250	190	226	PaeAG1_00325	CDS			hypothetical protein
678	371	139	196	193	187	PaeAG1_00326	CDS			hypothetical protein
282	201	75	93	103	105	PaeAG1_00327	CDS			hypothetical protein
679	400	234	216	206	266	PaeAG1_00328	CDS			transcriptional regulator
84	62	25	54	51	72	PaeAG1_00329	CDS			major facilitator superfamily transporter
278	177	135	69	97	83	PaeAG1_00330	CDS			hypothetical protein
1239	585	517	626	617	824	PaeAG1_00331	CDS			transcriptional regulator
457	205	125	257	187	266	PaeAG1_00332	CDS			hypothetical protein
880	505	280	275	211	518	PaeAG1_00333	CDS	ycaL	3.4.24.-	putative metalloprotease YcaL
