ID	TYPE	NAME	???	DESCRIPTION
PA0066	CDS			hypothetical protein
PA0067	CDS	prlC		oligopeptidase A
PA0068	CDS			hypothetical protein
PA0069	CDS			hypothetical protein
PA0070	CDS			hypothetical protein
PA0071	CDS			hypothetical protein
PA0072	CDS			hypothetical protein
PA0073	CDS			ABC transporter ATP-binding protein
PA0074	CDS	ppkA		serine/threonine protein kinase PpkA
PA0075	CDS	pppA		serine/threonine phosphatase
PA0076	CDS			hypothetical protein
PA0077	CDS	icmF1		type VI secretion protein IcmF
PA0078	CDS			hypothetical protein
PA0079	CDS			hypothetical protein
PA0080	CDS			hypothetical protein
PA0081	CDS	fha1		Fha domain-containing protein
PA0082	CDS			hypothetical protein
PA0083	CDS			hypothetical protein
PA0084	CDS			hypothetical protein
PA0085	CDS	hcp1		protein secretion apparatus assembly protein
PA0086	CDS			hypothetical protein
PA0087	CDS			hypothetical protein
PA0088	CDS			hypothetical protein
PA0089	CDS			hypothetical protein
PA0090	CDS	clpV1		secretion protein ClpV1
PA0091	CDS	vgrG1		type VI secretion system protein VgrG
PA0092	CDS			hypothetical protein
PA0093	CDS			hypothetical protein
PA0094	CDS			hypothetical protein
PA0095	CDS			hypothetical protein
PA0096	CDS			hypothetical protein
PA0097	CDS			hypothetical protein
PA0098	CDS		2.3.1.41	3-oxoacyl-ACP synthase
PA0099	CDS			hypothetical protein
PA0100	CDS			hypothetical protein
PA0101	CDS			hypothetical protein
PA0102	CDS			carbonic anhydrase
PA0103	CDS			sulfate transporter
PA0103a	CDS			hypothetical protein
PA0105	CDS	coxB		cytochrome C oxidase subunit II
PA0106	CDS	coxA		cytochrome C oxidase subunit I
PA0107	CDS			cytochrome C oxidase assembly protein
PA0108	CDS	coIII		cytochrome C oxidase subunit III
PA0109	CDS			hypothetical protein
PA0110	CDS			hypothetical protein
PA0111	CDS			hypothetical protein
PA0112	CDS			hypothetical protein
PA0113	CDS		2.5.1.-	protoheme IX farnesyltransferase
PA0114	CDS	senC		cytochrome c oxidase assembly protein SenC
PA0115	CDS			hypothetical protein
PA0116	CDS			hypothetical protein
PA0117	CDS			short-chain dehydrogenase
PA0118	CDS			hypothetical protein
PA0119	CDS			C4-dicarboxylate transporter DctA
PA0120	CDS			transcriptional regulator
PA0121	CDS			hypothetical protein
PA0122	CDS			hypothetical protein
PA0123	CDS			transcriptional regulator
PA0124	CDS			hypothetical protein
PA0125	CDS			hypothetical protein
PA0126	CDS			hypothetical protein
PA0127	CDS			hypothetical protein
PA0128	CDS			hypothetical protein
PA0129	CDS	gabP		gamma-aminobutyrate permease
PA0130	CDS			3-oxopropanoate dehydrogenase
PA0131	CDS			beta-alanine degradation protein BauB
PA0132	CDS		2.6.1.18	beta alanine--pyruvate transaminase
PA0133	CDS			HTH-type transcriptional activator BauR
PA0134	CDS			guanine deaminase
PA0135	CDS			hypothetical protein
PA0136	CDS			ABC transporter ATP-binding protein
PA0137	CDS			ABC transporter permease
PA0138	CDS			ABC transporter permease
PA0139	CDS	ahpC		alkyl hydroperoxide reductase
PA0140	CDS	ahpF		alkyl hydroperoxide reductase
PA0141	CDS			hypothetical protein
PA0142	CDS		3.5.4.43	8-oxoguanine deaminase
PA0143	CDS	nuh		nonspecific ribonucleoside hydrolase
PA0144	CDS			hypothetical protein
PA0145	CDS			hypothetical protein
PA0146	CDS			hypothetical protein
PA0147	CDS			oxidoreductase
PA0148	CDS		3.5.4.4	adenosine deaminase
PA0149	CDS			ECF subfamily sigma-70 factor
PA0150	CDS			transmembrane sensor
PA0151	CDS			TonB-dependent receptor
PA0152	CDS	pcaQ		transcriptional regulator PcaQ
PA0153	CDS	pcaH		protocatechuate 3,4-dioxygenase subunit beta
PA0154	CDS	pcaG		protocatechuate 3,4-dioxygenase subunit alpha
PA0155	CDS	pcaR		transcriptional regulator PcaR
PA0156	CDS			resistance-nodulation-cell division (RND) efflux membrane fusion protein
PA0157	CDS			resistance-nodulation-cell division (RND) efflux membrane fusion protein
PA0158	CDS			resistance-nodulation-cell division (RND) efflux transporter
PA0159	CDS			transcriptional regulator
PA0160	CDS			hypothetical protein
PA0162	CDS	opdC		histidine porin OpdC
PA0163	CDS			transcriptional regulator
PA0164	CDS			gamma-glutamyltranspeptidase
PA0165	CDS			hypothetical protein
PA0166	CDS			transporter
PA0167	CDS			transcriptional regulator
PA0168	CDS			hypothetical protein
PA0169	CDS			hypothetical protein
PA0170	CDS			hypothetical protein
PA0171	CDS			hypothetical protein
PA0172	CDS			hypothetical protein
PA0173	CDS		3.1.1.61	chemotaxis response regulator protein-glutamate methylesterase
PA0174	CDS			hypothetical protein
PA0175	CDS			chemotaxis protein methyltransferase
PA0176	CDS	aer2		aerotaxis transducer Aer2
PA0177	CDS			purine-binding chemotaxis protein
PA0178	CDS			two-component sensor
PA0179	CDS			two-component response regulator
PA0180	CDS	cttP		trichloroethylene chemotactic transducer CttP
PA0181	CDS			transcriptional regulator
PA0182	CDS		1.1.1.100	3-ketoacyl-ACP reductase
PA0183	CDS	atsA		arylsulfatase
PA0184	CDS			ABC transporter ATP-binding protein
PA0185	CDS			ABC transporter permease
PA0186	CDS			ABC transporter
PA0187	CDS			hypothetical protein
PA0188	CDS			hypothetical protein
PA0189	CDS			porin
PA0190	CDS			acid phosphatase
PA0191	CDS			transcriptional regulator
PA0192	CDS			TonB-dependent receptor
PA0193	CDS			hypothetical protein
PA0194	CDS			hypothetical protein
PA0195	CDS	pntAA		NAD(P) transhydrogenase subunit alpha
PA0195.1	CDS	pntAB		NAD(P) transhydrogenase subunit alpha
PA0196	CDS	pntB		pyridine nucleotide transhydrogenase subunit beta
PA0197	CDS	tonB2		transporter TonB
PA0198	CDS	exbB1		transporter ExbB
PA0199	CDS	exbD1		biopolymer transport protein ExbD
PA0200	CDS			hypothetical protein
PA0201	CDS			hypothetical protein
PA0202	CDS		3.5.1.4	amidase
PA0203	CDS			ABC transporter
PA0204	CDS			ABC transporter permease
PA0205	CDS			ABC transporter permease
PA0206	CDS			spermidine/putrescine ABC transporter ATP-binding protein
PA0207	CDS			transcriptional regulator
PA0208	CDS	mdcA		malonate decarboxylase subunit alpha
PA0209	CDS		2.4.2.52	2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase
PA0210	CDS	mdcC		malonate decarboxylase acyl carrier protein
PA0211	CDS	mdcD		malonate decarboxylase subunit beta
PA0212	CDS	mdcE		malonate decarboxylase subunit gamma
PA0213	CDS			phosphoribosyl-dephospho-CoA transferase
PA0214	CDS			acyl transferase
PA0215	CDS			malonate transporter MadL
PA0216	CDS			malonate transporter MadM
PA0217	CDS			transcriptional regulator
PA0218	CDS			transcriptional regulator
PA0219	CDS			aldehyde dehydrogenase
PA0220	CDS			amino acid APC family transporter
PA0221	CDS			aminotransferase
PA0222	CDS			hypothetical protein
PA0223	CDS			dihydrodipicolinate synthetase
PA0224	CDS			class II aldolase/adducin domain-containing protein
PA0225	CDS			transcriptional regulator
PA0226	CDS			CoA transferase subunit A
PA0227	CDS			CoA transferase subunit B
PA0228	CDS	pcaF		beta-ketoadipyl CoA thiolase
PA0229	CDS	pcaT		dicarboxylic acid transporter PcaT
PA0230	CDS	pcaB	5.5.1.2	3-carboxy-cis,cis-muconate cycloisomerase
PA0231	CDS	pcaD		3-oxoadipate enol-lactonase
PA0232	CDS	pcaC		4-carboxymuconolactone decarboxylase
PA0233	CDS			transcriptional regulator
PA0234	CDS			hypothetical protein
PA0235	CDS	pcaK		4-hydroxybenzoate transporter PcaK
PA0236	CDS			transcriptional regulator
PA0237	CDS			oxidoreductase
PA0238	CDS			hypothetical protein
PA0239	CDS			hypothetical protein
PA0240	CDS			porin
PA0241	CDS			major facilitator superfamily transporter
PA0242	CDS			hypothetical protein
PA0243	CDS			transcriptional regulator
PA0244	CDS		1.1.1.25	shikimate 5-dehydrogenase
PA0245	CDS	aroQ2	4.2.1.10	3-dehydroquinate dehydratase
PA0246	CDS			major facilitator superfamily transporter
PA0247	CDS	pobA	1.14.13.2	4-hydroxybenzoate 3-monooxygenase
PA0248	CDS			transcriptional regulator
PA0249	CDS			acetyltransferase
PA0250	CDS			hypothetical protein
PA0251	CDS			hypothetical protein
PA0252	CDS			hypothetical protein
PA0253	CDS			transcriptional regulator
PA0254	CDS			hypothetical protein
PA0255	CDS			hypothetical protein
PA0256	CDS			hypothetical protein
PA0257	CDS			hypothetical protein
PA0258	CDS			hypothetical protein
PA0259	CDS			hypothetical protein
PA0260	CDS			hypothetical protein
PA0261	CDS			hypothetical protein
PA0262	CDS			hypothetical protein
PA0263	CDS	hcpC		secreted protein Hcp
PA0263.1	tRNA			tRNA-Arg
PA0265	CDS	gabD	1.2.1.16	glutarate-semialdehyde dehydrogenase DavD
PA0266	CDS			5-aminovalerate aminotransferase DavT
PA0267	CDS			hypothetical protein
PA0268	CDS			transcriptional regulator
PA0269	CDS			hypothetical protein
PA0270	CDS			hypothetical protein
PA0271	CDS			hypothetical protein
PA0272	CDS			transcriptional regulator
PA0273	CDS			major facilitator superfamily transporter
PA0274	CDS			hypothetical protein
PA0275	CDS			transcriptional regulator
PA0276	CDS			hypothetical protein
PA0277	CDS			hypothetical protein
PA0278	CDS			hypothetical protein
PA0279	CDS			transcriptional regulator
PA0280	CDS	cysA		sulfate.thiosulfate ABC transporter ATP-binding protein CysA
PA0281	CDS	cysW		sulfate transporter CysW
PA0282	CDS	cysT		sulfate transporter CysT
PA0283	CDS	sbp		sulfate-binding protein
PA0284	CDS			hypothetical protein
PA0285	CDS			hypothetical protein
PA0286	CDS	desA		delta-9 fatty acid desaturase DesA
PA0287	CDS	gpuP		3-guanidinopropionate transporter
PA0288	CDS	gpuA		guanidinopropionase
PA0289	CDS	gpuR		transcriptional activator GpuR
PA0290	CDS			hypothetical protein
PA0291	CDS	oprE		anaerobically-induced outer membrane porin OprE
PA0292	CDS	aguA	3.5.3.12	agmatine deiminase
PA0293	CDS	aguB		N-carbamoylputrescine amidohydrolase
PA0294	CDS	aguR		transcriptional regulator AguR
PA0295	CDS			polyamine binding protein
PA0296	CDS	spuI		glutamine synthetase
PA0297	CDS	spuA		glutamine amidotransferase
PA0298	CDS	spuB		glutamine synthetase
PA0299	CDS	spuC		aminotransferase
PA0300	CDS	spuD		putrescine ABC transporter substrate-binding protein SpuD
PA0301	CDS	spuE		spermidine ABC transporter substrate-binding protein SpuE
PA0302	CDS	spuF		polyamine transporter PotG
PA0303	CDS	spuG		polyamine transporter PotH
PA0304	CDS	spuH		polyamine transporter PotI
PA0305	CDS			hypothetical protein
PA0306	CDS			transcriptional regulator
PA0306a	CDS			transcriptional regulator
PA0307	CDS			hypothetical protein
PA0308	CDS			hypothetical protein
PA0309	CDS			hypothetical protein
PA0310	CDS			hypothetical protein
PA0311	CDS			hypothetical protein
PA0312	CDS			hypothetical protein
PA0313	CDS			L-cysteine ABC transporter protein YecS
PA0314	CDS			L-cysteine ABC transporter protein FliY
PA0315	CDS			hypothetical protein
PA0316	CDS	serA		D-3-phosphoglycerate dehydrogenase
PA0317	CDS			hypothetical protein
PA0318	CDS			hypothetical protein
PA0319	CDS			hypothetical protein
PA0320	CDS			hypothetical protein
PA0321	CDS			acetylpolyamine aminohydrolase
PA0322	CDS			transporter
PA0323	CDS			ABC transporter
PA0324	CDS			ABC transporter permease
PA0325	CDS			ABC transporter permease
PA0326	CDS			ABC transporter ATP-binding protein
PA0327	CDS			hypothetical protein
PA0328	CDS			hypothetical protein
PA0329	CDS			hypothetical protein
PA0330	CDS	rpiA	5.3.1.6	ribose-5-phosphate isomerase A
PA0331	CDS	ilvA1	4.3.1.19	threonine dehydratase
PA0332	CDS			hypothetical protein
PA0333	CDS			hypothetical protein
PA0334	CDS			major facilitator superfamily transporter
PA0335	CDS			hypothetical protein
PA0336	CDS	ygdP	3.6.1.-	RNA pyrophosphohydrolase
PA0337	CDS	ptsP		phosphoenolpyruvate-protein phosphotransferase PtsP
PA0338	CDS			hypothetical protein
PA0339	CDS			hypothetical protein
PA0340	CDS			hypothetical protein
PA0341	CDS	lgt	2.4.99.-	prolipoprotein diacylglyceryl transferase
PA0342	CDS	thyA	2.1.1.45	thymidylate synthase
PA0343	CDS			hypothetical protein
PA0344	CDS			hypothetical protein
PA0345	CDS			hypothetical protein
PA0346	CDS			hypothetical protein
PA0347	CDS	glpQ		glycerophosphoryl diester phosphodiesterase
PA0348	CDS			hypothetical protein
PA0349	CDS			hypothetical protein
PA0350	CDS	folA		dihydrofolate reductase
PA0351	CDS			hypothetical protein
PA0352	CDS			transporter
PA0353	CDS	ilvD	4.2.1.9	dihydroxy-acid dehydratase
PA0354	CDS			hypothetical protein
PA0355	CDS	pfpI		protease PfpI
PA0356	CDS			hypothetical protein
PA0357	CDS	mutM	3.2.2.23	formamidopyrimidine-DNA glycosylase
PA0358	CDS			hypothetical protein
PA0359	CDS			hypothetical protein
PA0360	CDS			hypothetical protein
PA0361	CDS			gamma-glutamyltranspeptidase
PA0362	CDS	fdx1		4Fe-4S ferredoxin
PA0363	CDS	coaD	2.7.7.3	phosphopantetheine adenylyltransferase
PA0364	CDS			oxidoreductase
PA0365	CDS			hypothetical protein
PA0366	CDS			coniferyl aldehyde dehydrogenase
PA0367	CDS			transcriptional regulator
PA0367a	CDS			acetyltransferase
PA0368	CDS			hypothetical protein
PA0370	CDS			hypothetical protein
PA0371	CDS			hypothetical protein
PA0372	CDS			zinc protease
PA0373	CDS	ftsY		signal recognition particle receptor FtsY
PA0374	CDS	ftsE		cell division protein FtsE
PA0375	CDS	ftsX		cell division protein FtsX
PA0376	CDS	rpoH		RNA polymerase sigma factor RpoH
PA0377	CDS			hypothetical protein
PA0378	CDS			monofunctional biosynthetic peptidoglycan transglycosylase
PA0379	CDS			hypothetical protein
PA0380	CDS			sulfur carrier protein ThiS
PA0381	CDS	thiG		thiazole synthase
PA0382	CDS	micA	2.1.1.33	tRNA (guanine-N(7)-)-methyltransferase
PA0383	CDS			hypothetical protein
PA0384	CDS			hypothetical protein
PA0385	CDS			hypothetical protein
PA0386	CDS			coproporphyrinogen III oxidase
PA0387	CDS			non-canonical purine NTP pyrophosphatase
PA0388	CDS			hypothetical protein
PA0389	CDS			hypothetical protein
PA0390	CDS	metX	2.3.1.31	homoserine O-acetyltransferase
PA0391	CDS			hypothetical protein
PA0392	CDS			hypothetical protein
PA0393	CDS	proC	1.5.1.2	pyrroline-5-carboxylate reductase
PA0394	CDS			hypothetical protein
PA0395	CDS	pilT		twitching motility protein PilT
PA0396	CDS	pilU		twitching motility protein PilU
PA0397	CDS			cation efflux system protein
PA0398	CDS			hypothetical protein
PA0399	CDS			cystathionine beta-synthase
PA0400	CDS			cystathionine gamma-lyase
PA0401	CDS		3.5.2.3	dihydroorotase
PA0402	CDS	pyrB	2.1.3.2	aspartate carbamoyltransferase
PA0403	CDS	pyrR	2.4.2.9	bifunctional pyrimidine regulatory protein PyrR/uracil phosphoribosyltransferase
PA0404	CDS			Holliday junction resolvase
PA0405	CDS			hypothetical protein
PA0406	CDS	tonB3		transporter TonB
PA0407	CDS	gshB	6.3.2.3	glutathione synthetase
PA0408	CDS	pilG		pilus biosynthesis/twitching motility protein PilG
PA0409	CDS	pilH		twitching motility protein PilH
PA0410	CDS	pilI		twitching motility protein PilI
PA0411	CDS	pilJ		twitching motility protein PilJ
PA0412	CDS	pilK		methyltransferase PilK
PA0413	CDS	chpA		chemotactic signal transduction system protein
PA0414	CDS	chpB		methylesterase
PA0415	CDS	chpC		chemotaxis protein
PA0416	CDS	chpD		transcriptional regulator
PA0417	CDS	chpE		chemotactic transduction protein ChpE
PA0418	CDS			hypothetical protein
PA0419	CDS			16S ribosomal RNA methyltransferase RsmE
PA0420	CDS	bioA	2.6.1.62	adenosylmethionine--8-amino-7-oxononanoate aminotransferase BioA
PA0421	CDS			hypothetical protein
PA0422	CDS			hypothetical protein
PA0423	CDS	pasP		hypothetical protein
PA0424	CDS	mexR		multidrug resistance operon repressor MexR
PA0425	CDS	mexA		multidrug resistance protein MexA
PA0426	CDS	mexB		multidrug resistance protein MexB
PA0427	CDS	oprM		outer membrane protein OprM
PA0428	CDS			ATP-dependent RNA helicase
PA0429	CDS			hypothetical protein
PA0430	CDS	metF		5,10-methylenetetrahydrofolate reductase
PA0431	CDS			hypothetical protein
PA0432	CDS	sahH	3.3.1.1	adenosylhomocysteinase
PA0433	CDS			hypothetical protein
PA0434	CDS			hypothetical protein
PA0435	CDS			hypothetical protein
PA0436	CDS			transcriptional regulator
PA0437	CDS	codA	3.5.4.1	cytosine deaminase
PA0438	CDS	codB		cytosine permease
PA0439	CDS		1.3.1.1	dihydropyrimidine dehydrogenase
PA0440	CDS			oxidoreductase
PA0441	CDS	dht		D-hydantoinase/dihydropyrimidinase
PA0442	CDS			hypothetical protein
PA0443	CDS			transporter
PA0444	CDS			allantoate amidohydrolase
PA0445	CDS			transposase
PA0446	CDS			hypothetical protein
PA0447	CDS	gcdH		glutaryl-CoA dehydrogenase
PA0448	CDS			transcriptional regulator
PA0449	CDS			acyl-CoA thioesterase
PA0450	CDS			phosphate transporter
PA0451	CDS			hypothetical protein
PA0452	CDS			hypothetical protein
PA0451a	CDS			amino acid ABC transporter substrate-binding protein
PA0454	CDS			hypothetical protein
PA0455	CDS	dbpA		ATP-dependent RNA helicase DbpA
PA0456	CDS			cold-shock protein
PA0457	CDS			hypothetical protein
PA0457.1	CDS			hypothetical protein
PA0458	CDS			major facilitator superfamily transporter
PA0459	CDS			chaperone protein ClpB
PA0460	CDS			hypothetical protein
PA0461	CDS			acyltransferase
PA0462	CDS			hypothetical protein
PA0463	CDS	creB		DNA-binding response regulator CreB
PA0464	CDS	creC		sensory histidine kinase CreC
PA0465	CDS	creD		hypothetical protein
PA0466	CDS			hypothetical protein
PA0467	CDS			hypothetical protein
PA0468	CDS			hypothetical protein
PA0469	CDS			hypothetical protein
PA0470	CDS	fiuA		ferrichrome receptor FiuA
PA0471	CDS			transmembrane sensor
PA0472	CDS			RNA polymerase sigma factor
PA0473	CDS			glutathione S-transferase
PA0474	CDS			esterase
PA0475	CDS			transcriptional regulator
PA0476	CDS			permease
PA0477	CDS			transcriptional regulator
PA0478	CDS			N-acetyltransferase
PA0479	CDS			transcriptional regulator
PA0480	CDS			3-oxoadipate enol-lactonase
PA0481	CDS			hypothetical protein
PA0482	CDS	glcB	2.3.3.9	malate synthase G
PA0483	CDS			acetyltransferase
PA0484	CDS			hypothetical protein
PA0485	CDS			hypothetical protein
PA0486	CDS			serine/threonine protein kinase
PA0487	CDS			molybdenum transport regulator
PA0488	CDS			hypothetical protein
PA0489	CDS			phosphoribosyl transferase
PA0490	CDS			hypothetical protein
PA0491	CDS			transcriptional regulator
PA0492	CDS			hypothetical protein
PA0493	CDS			acetyl-CoA carboxylase biotin carboxyl carrier protein subunit
PA0494	CDS			acetyl-CoA carboxylase biotin carboxylase subunit
PA0495	CDS			hypothetical protein
PA0496	CDS			hypothetical protein
PA0497	CDS			hypothetical protein
PA0498	CDS			hypothetical protein
PA0499	CDS			pili assembly chaperone
PA0500	CDS	bioB		biotin synthase
PA0501	CDS	bioF	2.3.1.47	8-amino-7-oxononanoate synthase
PA0502	CDS			biotin biosynthesis protein BioH
PA0503	CDS			biotin synthesis protein BioC
PA0504	CDS	bioD	6.3.3.3	ATP-dependent dethiobiotin synthetase BioD
PA0505	CDS			hypothetical protein
PA0506	CDS			acyl-CoA dehydrogenase
PA0507	CDS			acyl-CoA dehydrogenase
PA0508	CDS			acyl-CoA dehydrogenase
PA0509	CDS	nirN		cytochrome C
PA0510	CDS			uroporphyrin-III C-methyltransferase
PA0511	CDS	nirJ		heme d1 biosynthesis protein NirJ
PA0512	CDS			heme d1 biosynthesis protein NirH
PA0513	CDS			heme d1 biosynthesis protein NirG
PA0514	CDS	nirL		heme d1 biosynthesis protein NirL
PA0515	CDS			heme d1 biosynthesis protein NirD
PA0516	CDS	nirF		heme d1 biosynthesis protein NirF
PA0517	CDS	nirC		cytochrome c55X
PA0518	CDS	nirM		cytochrome C-551
PA0519	CDS	nirS		nitrite reductase
PA0520	CDS	nirQ		denitrification regulatory protein NirQ
PA0521	CDS			cytochrome C oxidase subunit
PA0522	CDS			hypothetical protein
PA0523	CDS	norC		nitric oxide reductase subunit C
PA0524	CDS	norB		nitric oxide reductase subunit B
PA0525	CDS			denitrification protein NorD
PA0526	CDS			hypothetical protein
PA0527	CDS	dnr		transcriptional regulator Dnr
PA0528	CDS			transcriptional regulator
PA0529	CDS			hypothetical protein
PA0530	CDS			class III pyridoxal phosphate-dependent aminotransferase
PA0531	CDS			glutamine amidotransferase
PA0532	CDS			hypothetical protein
PA0533	CDS			transcriptional regulator
PA0534	CDS			hypothetical protein
PA0535	CDS			transcriptional regulator
PA0536	CDS			hypothetical protein
PA0537	CDS			hypothetical protein
PA0538	CDS	dsbB		disulfide bond formation protein
PA0539	CDS			hypothetical protein
PA0540	CDS			hypothetical protein
PA0541	CDS			hypothetical protein
PA0542	CDS			hypothetical protein
PA0543	CDS			hypothetical protein
PA0544	CDS			hypothetical protein
PA0545	CDS			hypothetical protein
PA0546	CDS	metK	2.5.1.6	S-adenosylmethionine synthetase
PA0547	CDS			transcriptional regulator
PA0548	CDS	tktA	2.2.1.1	transketolase
PA0549	CDS			hypothetical protein
PA0550	CDS			hypothetical protein
PA0551	CDS	epd		D-erythrose 4-phosphate dehydrogenase
PA0552	CDS	pgk	2.7.2.3	phosphoglycerate kinase
PA0553	CDS			hypothetical protein
PA0554	CDS			hypothetical protein
PA0555	CDS	fda	4.1.2.13	fructose-1,6-bisphosphate aldolase
PA0556	CDS			hypothetical protein
PA0557	CDS			hypothetical protein
PA0558	CDS			hypothetical protein
PA0559	CDS			hypothetical protein
PA0560	CDS			hypothetical protein
PA0561	CDS			hypothetical protein
PA0562	CDS			hydrolase
PA0563	CDS			hypothetical protein
PA0564	CDS			transcriptional regulator
PA0565	CDS			hypothetical protein
PA0566	CDS			hypothetical protein
PA0567	CDS			hypothetical protein
PA0568	CDS			hypothetical protein
PA0569	CDS			hypothetical protein
PA0570	CDS			hypothetical protein
PA0571	CDS			hypothetical protein
PA0572	CDS			hypothetical protein
PA0573	CDS			hypothetical protein
PA0574	CDS			hypothetical protein
PA0574.1	tRNA			tRNA-Met
PA0575	CDS			hypothetical protein
PA0576	CDS	rpoD		RNA polymerase sigma factor RpoD
PA0577	CDS	dnaG	2.7.7.-	DNA primase
PA0578	CDS			hypothetical protein
PA0579	CDS	rpsU		30S ribosomal protein S21
PA0580	CDS	gcp		tRNA N6-adenosine threonylcarbamoyltransferase
PA0581	CDS			glycerol-3-phosphate acyltransferase PlsY
PA0582	CDS	folB		dihydroneopterin aldolase
PA0583	CDS			hypothetical protein
PA0584	CDS	cca	3.1.3.-	multifunctional tRNA nucleotidyl transferase/2'3'-cyclic phosphodiesterase/2'nucleotidase/phosphatase
PA0585	CDS			hypothetical protein
PA0586	CDS			hypothetical protein
PA0587	CDS			hypothetical protein
PA0588	CDS			hypothetical protein
PA0589	CDS		2.8.1.1	thiosulfate sulfurtransferase
PA0590	CDS	apaH	3.6.1.41	bis(5'-nucleosyl)-tetraphosphatase
PA0591	CDS			protein ApaG
PA0592	CDS	ksgA	2.1.1.-	ribosomal RNA small subunit methyltransferase A
PA0593	CDS	pdxA	1.1.1.262	4-hydroxythreonine-4-phosphate dehydrogenase
PA0594	CDS	surA		chaperone SurA
PA0595	CDS	ostA		organic solvent tolerance protein OstA
PA0596	CDS			hypothetical protein
PA0597	CDS			nucleotidyl transferase
PA0598	CDS			hypothetical protein
PA0599	CDS			hypothetical protein
PA0600	CDS			two-component sensor
PA0601	CDS			two-component response regulator
PA0602	CDS			ABC transporter
PA0603	CDS			ABC transporter ATP-binding protein
PA0604	CDS			ABC transporter
PA0605	CDS			ABC transporter permease
PA0606	CDS			ABC transporter permease
PA0607	CDS	rpe	5.1.3.1	ribulose-phosphate 3-epimerase
PA0608	CDS			phosphoglycolate phosphatase
PA0609	CDS	trpE	4.1.3.27	anthranilate synthase component I
PA0610	CDS	prtN		transcriptional regulator PrtN
PA0611	CDS	prtR		HTH-type transcriptional regulator PrtR
PA0612	CDS	ptrB		repressor PtrB
PA0613	CDS			hypothetical protein
PA0614	CDS			hypothetical protein
PA0615	CDS			hypothetical protein
PA0616	CDS			hypothetical protein
PA0617	CDS			bacteriophage protein
PA0618	CDS			bacteriophage protein
PA0619	CDS			bacteriophage protein
PA0620	CDS			bacteriophage protein
PA0621	CDS			hypothetical protein
PA0622	CDS			bacteriophage protein
PA0623	CDS			bacteriophage protein
PA0624	CDS			hypothetical protein
PA0625	CDS			hypothetical protein
PA0626	CDS			hypothetical protein
PA0627	CDS			hypothetical protein
